Selection	View	Channel	Begin Time (s)	End Time (s)	Delta Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin Path	File Offset (s)	Begin File	Species	Comments
19	Spectrogram 1	1	75849.750889560	75851.076682383	1.3258	2125.000	6687.500	D:\AI_SCMU\2021\Audio\Moss\SM4\2_10_21 to 3_20_21\Data\PWR04_20210219_050000.wav	9.7509	PWR04_20210219_050000.wav	M	
20	Spectrogram 1	1	75851.184595752	75852.294561836	1.1100	2000.000	6437.500	D:\AI_SCMU\2021\Audio\Moss\SM4\2_10_21 to 3_20_21\Data\PWR04_20210219_050000.wav	11.1846	PWR04_20210219_050000.wav	M	
21	Spectrogram 1	1	75967.757154633	75968.296721480	0.5396	2750.000	5000.000	D:\AI_SCMU\2021\Audio\Moss\SM4\2_10_21 to 3_20_21\Data\PWR04_20210219_052000.wav	7.7572	PWR04_20210219_052000.wav	M	
22	Spectrogram 1	1	75969.391271369	75970.085000171	0.6937	2562.500	5750.000	D:\AI_SCMU\2021\Audio\Moss\SM4\2_10_21 to 3_20_21\Data\PWR04_20210219_052000.wav	9.3913	PWR04_20210219_052000.wav	M	
23	Spectrogram 1	1	75970.239162127	75970.763312778	0.5242	2625.000	5937.500	D:\AI_SCMU\2021\Audio\Moss\SM4\2_10_21 to 3_20_21\Data\PWR04_20210219_052000.wav	10.2392	PWR04_20210219_052000.wav	M	
24	Spectrogram 1	1	75996.329606586	75996.807508650	0.4779	2187.500	5125.000	D:\AI_SCMU\2021\Audio\Moss\SM4\2_10_21 to 3_20_21\Data\PWR04_20210219_052000.wav	36.3296	PWR04_20210219_052000.wav	M	
25	Spectrogram 1	1	75998.487873972	75999.135354188	0.6475	2750.000	5875.000	D:\AI_SCMU\2021\Audio\Moss\SM4\2_10_21 to 3_20_21\Data\PWR04_20210219_052000.wav	38.4879	PWR04_20210219_052000.wav	M	
26	Spectrogram 1	1	75999.335764731	75999.674921035	0.3392	3187.500	5500.000	D:\AI_SCMU\2021\Audio\Moss\SM4\2_10_21 to 3_20_21\Data\PWR04_20210219_052000.wav	39.3357	PWR04_20210219_052000.wav	M	
27	Spectrogram 1	1	76003.448872388	76003.988439234	0.5396	3812.500	5875.000	D:\AI_SCMU\2021\Audio\Moss\SM4\2_10_21 to 3_20_21\Data\PWR04_20210219_052000.wav	43.4489	PWR04_20210219_052000.wav	M	
28	Spectrogram 1	1	76016.609716084	76016.964288583	0.3546	3062.500	5250.000	D:\AI_SCMU\2021\Audio\Moss\SM4\2_10_21 to 3_20_21\Data\PWR04_20210219_052000.wav	56.6097	PWR04_20210219_052000.wav	M	
29	Spectrogram 1	1	76017.688849777	76018.151335646	0.4625	3875.000	5250.000	D:\AI_SCMU\2021\Audio\Moss\SM4\2_10_21 to 3_20_21\Data\PWR04_20210219_052000.wav	57.6888	PWR04_20210219_052000.wav	M	
30	Spectrogram 1	1	76018.259249015	76018.845064448	0.5858	3687.500	5937.500	D:\AI_SCMU\2021\Audio\Moss\SM4\2_10_21 to 3_20_21\Data\PWR04_20210219_052000.wav	58.2593	PWR04_20210219_052000.wav	M	
31	Spectrogram 1	1	76019.060891187	76019.338382708	0.2775	3500.000	5250.000	D:\AI_SCMU\2021\Audio\Moss\SM4\2_10_21 to 3_20_21\Data\PWR04_20210219_052000.wav	59.0609	PWR04_20210219_052000.wav	M	
32	Spectrogram 1	1	81688.968144013	81689.476878469	0.5087	4625.000	6937.500	D:\AI_SCMU\2021\Audio\Moss\SM4\2_10_21 to 3_20_21\Data\PWR04_20210219_211000.wav	28.9681	PWR04_20210219_211000.wav	M	
33	Spectrogram 1	1	81689.785202381	81690.124358684	0.3392	4375.000	6750.000	D:\AI_SCMU\2021\Audio\Moss\SM4\2_10_21 to 3_20_21\Data\PWR04_20210219_211000.wav	29.7852	PWR04_20210219_211000.wav	M	
34	Spectrogram 1	1	84421.875938506	84422.600499700	0.7246	3375.000	6000.000	D:\AI_SCMU\2021\Audio\Moss\SM4\2_10_21 to 3_20_21\Data\PWR04_20210220_045000.wav	1.8760	PWR04_20210220_045000.wav	M	
35	Spectrogram 1	1	84422.723829265	84423.510055242	0.7862	2875.000	6000.000	D:\AI_SCMU\2021\Audio\Moss\SM4\2_10_21 to 3_20_21\Data\PWR04_20210220_045000.wav	2.7238	PWR04_20210220_045000.wav	M	
36	Spectrogram 1	1	84423.648801002	84424.296281218	0.6475	2687.500	4562.500	D:\AI_SCMU\2021\Audio\Moss\SM4\2_10_21 to 3_20_21\Data\PWR04_20210220_045000.wav	3.6488	PWR04_20210220_045000.wav	M	
37	Spectrogram 1	1	84425.992062736	84426.577878169	0.5858	3125.000	5750.000	D:\AI_SCMU\2021\Audio\Moss\SM4\2_10_21 to 3_20_21\Data\PWR04_20210220_045000.wav	5.9921	PWR04_20210220_045000.wav	M	
38	Spectrogram 1	1	84424.573772739	84425.236669150	0.6629	2812.500	4250.000	D:\AI_SCMU\2021\Audio\Moss\SM4\2_10_21 to 3_20_21\Data\PWR04_20210220_045000.wav	4.5738	PWR04_20210220_045000.wav	M	
39	Spectrogram 1	1	84435.083030790	84435.422187093	0.3392	3875.000	5312.500	D:\AI_SCMU\2021\Audio\Moss\SM4\2_10_21 to 3_20_21\Data\PWR04_20210220_045000.wav	15.0830	PWR04_20210220_045000.wav	M	
40	Spectrogram 1	1	84436.532153177	84437.102552415	0.5704	2562.500	6000.000	D:\AI_SCMU\2021\Audio\Moss\SM4\2_10_21 to 3_20_21\Data\PWR04_20210220_045000.wav	16.5322	PWR04_20210220_045000.wav	M	
41	Spectrogram 1	1	84439.985380995	84440.447866864	0.4625	3375.000	5750.000	D:\AI_SCMU\2021\Audio\Moss\SM4\2_10_21 to 3_20_21\Data\PWR04_20210220_045000.wav	19.9854	PWR04_20210220_045000.wav	M	
42	Spectrogram 1	1	84442.806544793	84443.361527835	0.5550	2312.500	5375.000	D:\AI_SCMU\2021\Audio\Moss\SM4\2_10_21 to 3_20_21\Data\PWR04_20210220_045000.wav	22.8065	PWR04_20210220_045000.wav	M	
43	Spectrogram 1	1	84444.548574897	84445.211471309	0.6629	1875.000	6250.000	D:\AI_SCMU\2021\Audio\Moss\SM4\2_10_21 to 3_20_21\Data\PWR04_20210220_045000.wav	24.5486	PWR04_20210220_045000.wav	M	
44	Spectrogram 1	1	84445.504379025	84446.213524024	0.7091	1937.500	7125.000	D:\AI_SCMU\2021\Audio\Moss\SM4\2_10_21 to 3_20_21\Data\PWR04_20210220_045000.wav	25.5044	PWR04_20210220_045000.wav	M	
45	Spectrogram 1	1	84443.716100334	84443.947343268	0.2312	2500.000	4625.000	D:\AI_SCMU\2021\Audio\Moss\SM4\2_10_21 to 3_20_21\Data\PWR04_20210220_045000.wav	23.7161	PWR04_20210220_045000.wav	M	
46	Spectrogram 1	1	84447.272654162	84447.904718183	0.6321	2250.000	5000.000	D:\AI_SCMU\2021\Audio\Moss\SM4\2_10_21 to 3_20_21\Data\PWR04_20210220_045000.wav	27.2727	PWR04_20210220_045000.wav	M	
47	Spectrogram 1	1	84448.074296334	84448.983851876	0.9096	2625.000	6000.000	D:\AI_SCMU\2021\Audio\Moss\SM4\2_10_21 to 3_20_21\Data\PWR04_20210220_045000.wav	28.0743	PWR04_20210220_045000.wav	M	
48	Spectrogram 1	1	84449.138013832	84449.770077852	0.6321	2437.500	6250.000	D:\AI_SCMU\2021\Audio\Moss\SM4\2_10_21 to 3_20_21\Data\PWR04_20210220_045000.wav	29.1380	PWR04_20210220_045000.wav	M	
49	Spectrogram 1	1	84449.939656004	84450.664217198	0.7246	2937.500	4312.500	D:\AI_SCMU\2021\Audio\Moss\SM4\2_10_21 to 3_20_21\Data\PWR04_20210220_045000.wav	29.9397	PWR04_20210220_045000.wav	M	
50	Spectrogram 1	1	84450.910876327	84451.589188935	0.6783	2875.000	4125.000	D:\AI_SCMU\2021\Audio\Moss\SM4\2_10_21 to 3_20_21\Data\PWR04_20210220_045000.wav	30.9109	PWR04_20210220_045000.wav	M	
51	Spectrogram 1	1	84451.851264260	84452.498744476	0.6475	2562.500	3875.000	D:\AI_SCMU\2021\Audio\Moss\SM4\2_10_21 to 3_20_21\Data\PWR04_20210220_045000.wav	31.8513	PWR04_20210220_045000.wav	M	
52	Spectrogram 1	1	84453.084559909	84453.685791538	0.6012	2437.500	5812.500	D:\AI_SCMU\2021\Audio\Moss\SM4\2_10_21 to 3_20_21\Data\PWR04_20210220_045000.wav	33.0845	PWR04_20210220_045000.wav	M	
53	Spectrogram 1	1	84454.842006209	84455.366156860	0.5242	2562.500	3750.000	D:\AI_SCMU\2021\Audio\Moss\SM4\2_10_21 to 3_20_21\Data\PWR04_20210220_045000.wav	34.8420	PWR04_20210220_045000.wav	M	
54	Spectrogram 1	1	84455.859475120	84456.399041966	0.5396	2437.500	3875.000	D:\AI_SCMU\2021\Audio\Moss\SM4\2_10_21 to 3_20_21\Data\PWR04_20210220_045000.wav	35.8595	PWR04_20210220_045000.wav	M	
55	Spectrogram 1	1	84456.938608813	84457.385678486	0.4471	2375.000	3812.500	D:\AI_SCMU\2021\Audio\Moss\SM4\2_10_21 to 3_20_21\Data\PWR04_20210220_045000.wav	36.9386	PWR04_20210220_045000.wav	M	
56	Spectrogram 1	1	84462.453019484	84463.115915896	0.6629	3437.500	5562.500	D:\AI_SCMU\2021\Audio\Moss\SM4\2_10_21 to 3_20_21\Data\PWR04_20210220_045000.wav	42.4530	PWR04_20210220_045000.wav	M	
57	Spectrogram 1	1	84463.408823613	84464.056303828	0.6475	3250.000	6562.500	D:\AI_SCMU\2021\Audio\Moss\SM4\2_10_21 to 3_20_21\Data\PWR04_20210220_045000.wav	43.4088	PWR04_20210220_045000.wav	M	
58	Spectrogram 1	1	84472.273136091	84472.720205764	0.4471	4000.000	6187.500	D:\AI_SCMU\2021\Audio\Moss\SM4\2_10_21 to 3_20_21\Data\PWR04_20210220_045000.wav	52.2731	PWR04_20210220_045000.wav	M	
59	Spectrogram 1	1	84476.292175788	84476.708413070	0.4162	3125.000	5062.500	D:\AI_SCMU\2021\Audio\Moss\SM4\2_10_21 to 3_20_21\Data\PWR04_20210220_045000.wav	56.2922	PWR04_20210220_045000.wav	M	
60	Spectrogram 1	1	84477.849211545	84478.250032631	0.4008	3562.500	4812.500	D:\AI_SCMU\2021\Audio\Moss\SM4\2_10_21 to 3_20_21\Data\PWR04_20210220_045000.wav	57.8492	PWR04_20210220_045000.wav	M	
61	Spectrogram 1	1	84478.481275565	84479.036258607	0.5550	2937.500	6125.000	D:\AI_SCMU\2021\Audio\Moss\SM4\2_10_21 to 3_20_21\Data\PWR04_20210220_045000.wav	58.4813	PWR04_20210220_045000.wav	M	
62	Spectrogram 1	1	84476.754661656	84477.278812307	0.5242	4000.000	5750.000	D:\AI_SCMU\2021\Audio\Moss\SM4\2_10_21 to 3_20_21\Data\PWR04_20210220_045000.wav	56.7547	PWR04_20210220_045000.wav	M	
63	Spectrogram 1	1	98984.995329308	98985.473231372	0.4779	4312.500	6187.500	D:\AI_SCMU\2021\Audio\Moss\SM4\2_10_21 to 3_20_21\Data\PWR04_20210221_211000.wav	44.9953	PWR04_20210221_211000.wav	M	
64	Spectrogram 1	1	98986.891521369	98987.477336802	0.5858	2312.500	5812.500	D:\AI_SCMU\2021\Audio\Moss\SM4\2_10_21 to 3_20_21\Data\PWR04_20210221_211000.wav	46.8915	PWR04_20210221_211000.wav	M	
65	Spectrogram 1	1	98987.739412127	98988.171065605	0.4317	4062.500	5812.500	D:\AI_SCMU\2021\Audio\Moss\SM4\2_10_21 to 3_20_21\Data\PWR04_20210221_211000.wav	47.7394	PWR04_20210221_211000.wav	M	
66	Spectrogram 1	1	98989.373528863	98989.882263318	0.5087	4562.500	6250.000	D:\AI_SCMU\2021\Audio\Moss\SM4\2_10_21 to 3_20_21\Data\PWR04_20210221_211000.wav	49.3735	PWR04_20210221_211000.wav	M	
67	Spectrogram 1	1	98995.771250043	98996.172071129	0.4008	4375.000	5750.000	D:\AI_SCMU\2021\Audio\Moss\SM4\2_10_21 to 3_20_21\Data\PWR04_20210221_211000.wav	55.7713	PWR04_20210221_211000.wav	M	
68	Spectrogram 1	1	99155.056428828	99155.349336545	0.2929	2062.500	4312.500	D:\AI_SCMU\2021\Audio\Moss\SM4\2_10_21 to 3_20_21\Data\PWR04_20210221_214000.wav	35.0564	PWR04_20210221_214000.wav	M	
69	Spectrogram 1	1	99155.534330892	99155.919735783	0.3854	3250.000	4750.000	D:\AI_SCMU\2021\Audio\Moss\SM4\2_10_21 to 3_20_21\Data\PWR04_20210221_214000.wav	35.5343	PWR04_20210221_214000.wav	M	
70	Spectrogram 1	1	99259.481483899	99260.128964114	0.6475	3500.000	5375.000	D:\AI_SCMU\2021\Audio\Moss\SM4\2_10_21 to 3_20_21\Data\PWR04_20210221_220000.wav	19.4815	PWR04_20210221_220000.wav	M	
71	Spectrogram 1	1	99786.734890031	99787.212792095	0.4779	4125.000	5500.000	D:\AI_SCMU\2021\Audio\Moss\SM4\2_10_21 to 3_20_21\Data\PWR04_20210221_233000.wav	6.7349	PWR04_20210221_233000.wav	M	
72	Spectrogram 1	1	99829.608984156	99830.395210132	0.7862	2687.500	6625.000	D:\AI_SCMU\2021\Audio\Moss\SM4\2_10_21 to 3_20_21\Data\PWR04_20210221_233000.wav	49.6090	PWR04_20210221_233000.wav	M	
73	Spectrogram 1	1	99830.626453066	99831.258517086	0.6321	2437.500	6375.000	D:\AI_SCMU\2021\Audio\Moss\SM4\2_10_21 to 3_20_21\Data\PWR04_20210221_233000.wav	50.6265	PWR04_20210221_233000.wav	M	
74	Spectrogram 1	1	99832.584309909	99833.108460560	0.5242	3250.000	5062.500	D:\AI_SCMU\2021\Audio\Moss\SM4\2_10_21 to 3_20_21\Data\PWR04_20210221_233000.wav	52.5843	PWR04_20210221_233000.wav	M	
75	Spectrogram 1	1	101274.319027749	101274.874010791	0.5550	3187.500	5375.000	D:\AI_SCMU\2021\Audio\Moss\SM4\2_10_21 to 3_20_21\Data\PWR04_20210222_033000.wav	54.3190	PWR04_20210222_033000.wav	M	
76	Spectrogram 1	1	101275.876063506	101276.323133179	0.4471	3125.000	5625.000	D:\AI_SCMU\2021\Audio\Moss\SM4\2_10_21 to 3_20_21\Data\PWR04_20210222_033000.wav	55.8761	PWR04_20210222_033000.wav	M	
77	Spectrogram 1	1	101277.140191547	101277.664342198	0.5242	3375.000	5187.500	D:\AI_SCMU\2021\Audio\Moss\SM4\2_10_21 to 3_20_21\Data\PWR04_20210222_033000.wav	57.1402	PWR04_20210222_033000.wav	M	
78	Spectrogram 1	1	101277.818504154	101278.234741435	0.4162	3437.500	5562.500	D:\AI_SCMU\2021\Audio\Moss\SM4\2_10_21 to 3_20_21\Data\PWR04_20210222_033000.wav	57.8185	PWR04_20210222_033000.wav	M	
79	Spectrogram 1	1	101311.803528220	101312.682251370	0.8787	2000.000	5312.500	D:\AI_SCMU\2021\Audio\Moss\SM4\2_10_21 to 3_20_21\Data\PWR04_20210222_034000.wav	31.8035	PWR04_20210222_034000.wav	U	
80	Spectrogram 1	1	101462.419884378	101463.283191333	0.8633	2312.500	5625.000	D:\AI_SCMU\2021\Audio\Moss\SM4\2_10_21 to 3_20_21\Data\PWR04_20210222_041000.wav	2.4199	PWR04_20210222_041000.wav	M	
81	Spectrogram 1	1	101463.545266658	101464.238995461	0.6937	2812.500	5750.000	D:\AI_SCMU\2021\Audio\Moss\SM4\2_10_21 to 3_20_21\Data\PWR04_20210222_041000.wav	3.5452	PWR04_20210222_041000.wav	M	
82	Spectrogram 1	1	101466.952245889	101467.399315562	0.4471	2250.000	3875.000	D:\AI_SCMU\2021\Audio\Moss\SM4\2_10_21 to 3_20_21\Data\PWR04_20210222_041000.wav	6.9523	PWR04_20210222_041000.wav	M	
83	Spectrogram 1	1	107936.323133179	107936.831867634	0.5087	1812.500	5500.000	D:\AI_SCMU\2021\Audio\Moss\SM4\2_10_21 to 3_20_21\Data\PWR04_20210222_220000.wav	56.3231	PWR04_20210222_220000.wav	M	
84	Spectrogram 1	1	142210.865151336	142211.404718183	0.5396	4250.000	6437.500	D:\AI_SCMU\2021\Audio\Moss\SM4\2_10_21 to 3_20_21\Data\PWR04_20210226_212000.wav	10.8652	PWR04_20210226_212000.wav	M	
85	Spectrogram 1	1	142213.393407417	142214.117968611	0.7246	3875.000	5250.000	D:\AI_SCMU\2021\Audio\Moss\SM4\2_10_21 to 3_20_21\Data\PWR04_20210226_212000.wav	13.3934	PWR04_20210226_212000.wav	M	
86	Spectrogram 1	1	142214.302962958	142214.811697414	0.5087	4125.000	6500.000	D:\AI_SCMU\2021\Audio\Moss\SM4\2_10_21 to 3_20_21\Data\PWR04_20210226_212000.wav	14.3030	PWR04_20210226_212000.wav	M	
87	Spectrogram 1	1	142217.679109798	142218.018266101	0.3392	3875.000	5250.000	D:\AI_SCMU\2021\Audio\Moss\SM4\2_10_21 to 3_20_21\Data\PWR04_20210226_212000.wav	17.6791	PWR04_20210226_212000.wav	M	
88	Spectrogram 1	1	142229.467912085	142229.899565562	0.4317	3375.000	4375.000	D:\AI_SCMU\2021\Audio\Moss\SM4\2_10_21 to 3_20_21\Data\PWR04_20210226_212000.wav	29.4679	PWR04_20210226_212000.wav	M	
89	Spectrogram 1	1	142230.192473279	142230.593294365	0.4008	3625.000	5187.500	D:\AI_SCMU\2021\Audio\Moss\SM4\2_10_21 to 3_20_21\Data\PWR04_20210226_212000.wav	30.1925	PWR04_20210226_212000.wav	M	
90	Spectrogram 1	1	150448.393324084	150448.747896583	0.3546	2750.000	5500.000	D:\AI_SCMU\2021\Audio\Moss\SM4\2_10_21 to 3_20_21\Data\PWR04_20210227_201000.wav	28.3933	PWR04_20210227_201000.wav	M	
91	Spectrogram 1	1	150464.173391915	150465.021282674	0.8479	2875.000	5750.000	D:\AI_SCMU\2021\Audio\Moss\SM4\2_10_21 to 3_20_21\Data\PWR04_20210227_201000.wav	44.1734	PWR04_20210227_201000.wav	M	
92	Spectrogram 1	1	150473.342761733	150479.925477261	6.5827	1937.500	10187.500	D:\AI_SCMU\2021\Audio\Moss\SM4\2_10_21 to 3_20_21\Data\PWR04_20210227_201000.wav	53.3428	PWR04_20210227_201000.wav	U	
93	Spectrogram 1	1	159479.523627055	159479.754869990	0.2312	3500.000	4875.000	D:\AI_SCMU\2021\Audio\Moss\SM4\2_10_21 to 3_20_21\Data\PWR04_20210228_211000.wav	59.5236	PWR04_20210228_211000.wav	M	
94	Spectrogram 1	1	159560.292384121	159560.600708034	0.3083	2250.000	5125.000	D:\AI_SCMU\2021\Audio\Moss\SM4\2_10_21 to 3_20_21\Data\PWR04_20210228_213000.wav	20.2924	PWR04_20210228_213000.wav	M	
95	Spectrogram 1	1	159561.109442489	159561.217355858	0.1079	4125.000	5375.000	D:\AI_SCMU\2021\Audio\Moss\SM4\2_10_21 to 3_20_21\Data\PWR04_20210228_213000.wav	21.1095	PWR04_20210228_213000.wav	M	
96	Spectrogram 1	1	159566.119706064	159566.335532802	0.2158	3375.000	4500.000	D:\AI_SCMU\2021\Audio\Moss\SM4\2_10_21 to 3_20_21\Data\PWR04_20210228_213000.wav	26.1197	PWR04_20210228_213000.wav	M	
97	Spectrogram 1	1	159586.367412384	159586.521574341	0.1542	3125.000	4500.000	D:\AI_SCMU\2021\Audio\Moss\SM4\2_10_21 to 3_20_21\Data\PWR04_20210228_213000.wav	46.3674	PWR04_20210228_213000.wav	M	
98	Spectrogram 1	1	159586.860730644	159587.091973578	0.2312	3312.500	5000.000	D:\AI_SCMU\2021\Audio\Moss\SM4\2_10_21 to 3_20_21\Data\PWR04_20210228_213000.wav	46.8608	PWR04_20210228_213000.wav	M	
99	Spectrogram 1	1	159598.233295649	159598.418289997	0.1850	4062.500	5187.500	D:\AI_SCMU\2021\Audio\Moss\SM4\2_10_21 to 3_20_21\Data\PWR04_20210228_213000.wav	58.2333	PWR04_20210228_213000.wav	M	
100	Spectrogram 1	1	169308.320640202	169308.706045092	0.3854	4000.000	5250.000	D:\AI_SCMU\2021\Audio\Moss\SM4\2_10_21 to 3_20_21\Data\PWR04_20210302_003000.wav	48.3206	PWR04_20210302_003000.wav	M	
101	Spectrogram 1	1	169365.380317532	169365.549895683	0.1696	3750.000	4812.500	D:\AI_SCMU\2021\Audio\Moss\SM4\2_10_21 to 3_20_21\Data\PWR04_20210302_004000.wav	45.3803	PWR04_20210302_004000.wav	M	
102	Spectrogram 1	1	178624.254869990	178624.871517814	0.6166	3625.000	5250.000	D:\AI_SCMU\2021\Audio\Moss\SM4\2_10_21 to 3_20_21\Data\PWR04_20210303_023000.wav	4.2549	PWR04_20210303_023000.wav	M	
103	Spectrogram 1	1	178714.865234669	178715.173558582	0.3083	2500.000	4625.000	D:\AI_SCMU\2021\Audio\Moss\SM4\2_10_21 to 3_20_21\Data\PWR04_20210303_024000.wav	34.8653	PWR04_20210303_024000.wav	M	
104	Spectrogram 1	1	178744.069750642	178744.439739337	0.3700	4000.000	5562.500	D:\AI_SCMU\2021\Audio\Moss\SM4\2_10_21 to 3_20_21\Data\PWR04_20210303_025000.wav	4.0697	PWR04_20210303_025000.wav	M	
105	Spectrogram 1	1	178748.848771283	178749.249592369	0.4008	4000.000	5500.000	D:\AI_SCMU\2021\Audio\Moss\SM4\2_10_21 to 3_20_21\Data\PWR04_20210303_025000.wav	8.8488	PWR04_20210303_025000.wav	M	
106	Spectrogram 1	1	178802.794960432	178803.288278691	0.4933	3437.500	5312.500	D:\AI_SCMU\2021\Audio\Moss\SM4\2_10_21 to 3_20_21\Data\PWR04_20210303_030000.wav	2.7950	PWR04_20210303_030000.wav	M	
107	Spectrogram 1	1	178806.356101619	178806.849419878	0.4933	3125.000	4875.000	D:\AI_SCMU\2021\Audio\Moss\SM4\2_10_21 to 3_20_21\Data\PWR04_20210303_030000.wav	6.3561	PWR04_20210303_030000.wav	M	
108	Spectrogram 1	1	178811.273868020	178811.489694758	0.2158	3000.000	4625.000	D:\AI_SCMU\2021\Audio\Moss\SM4\2_10_21 to 3_20_21\Data\PWR04_20210303_030000.wav	11.2739	PWR04_20210303_030000.wav	M	
109	Spectrogram 1	1	178811.643856715	178812.090926387	0.4471	3000.000	5437.500	D:\AI_SCMU\2021\Audio\Moss\SM4\2_10_21 to 3_20_21\Data\PWR04_20210303_030000.wav	11.6439	PWR04_20210303_030000.wav	M	
110	Spectrogram 1	1	178814.233777578	178814.742512033	0.5087	3000.000	5062.500	D:\AI_SCMU\2021\Audio\Moss\SM4\2_10_21 to 3_20_21\Data\PWR04_20210303_030000.wav	14.2338	PWR04_20210303_030000.wav	M	
111	Spectrogram 1	1	178815.297495075	178815.775397139	0.4779	3250.000	5625.000	D:\AI_SCMU\2021\Audio\Moss\SM4\2_10_21 to 3_20_21\Data\PWR04_20210303_030000.wav	15.2975	PWR04_20210303_030000.wav	M	
112	Spectrogram 1	1	187272.117129753	187272.564199426	0.4471	3875.000	5562.500	D:\AI_SCMU\2021\Audio\Moss\SM4\2_10_21 to 3_20_21\Data\PWR04_20210304_023000.wav	12.1171	PWR04_20210304_023000.wav	M	
